Message ID,Source Vehicle,Destination Vehicle,Message Type,Message Content,Priority,Spam
1,Car A,Car B,Emergency,"Accident ahead, use caution",High,No
2,Car C,Car D,Roadwork,Right lane closed ahead,Medium,No
3,Car E,All Vehicles,Weather,Heavy rain expected,Low,No
4,Car F,Car G,Traffic,Slow traffic ahead,Medium,No
5,Car H,All Vehicles,Emergency,Vehicle stalled in left lane,High,No
6,Car I,Car J,Hazard,Debris on road,Medium,No
7,Car K,Car L,Roadwork,Construction zone ahead,Low,No
8,Car M,All Vehicles,Traffic,Accident causing delays,High,No
9,Car N,Car O,Hazard,Pothole in right lane,Medium,No
10,Car P,All Vehicles,Weather,Snowstorm approaching,Low,No
11,Car Q,All Vehicles,Emergency,Test emergency message,High,No
12,Car R,Car S,Traffic,Visit this website for discounts,Medium,Yes
13,Car T,Car U,Spam,You have won a prize! Click here to claim,Low,Yes
14,Car V,All Vehicles,Weather,Sunny and clear,Low,No
15,Car W,Car X,Hazard,Fallen tree in road,High,No
16,Car Y,Car Z,Roadwork,Lane closure due to construction,Medium,No
17,Car A,All Vehicles,Traffic,Heavy traffic on I-5,High,No
18,Car B,Car C,Emergency,"Fire on shoulder, use caution",High,No
19,Car D,All Vehicles,Weather,Wind advisory in effect,Medium,No
20,Car E,Car F,Hazard,Animal on road,Medium,No
21,Car G,All Vehicles,Spam,Buy our product now!,Low,Yes
22,Car H,Car I,Roadwork,Bridge repair work ahead,Low,No
23,Car J,All Vehicles,Traffic,Carpool lane open,Low,No
24,Car K,Car L,Emergency,Medical emergency ahead,High,No
25,Car M,All Vehicles,Weather,Hail warning in effect,High,No
26,Car N,Car O,Hazard,Oil spill on road,High,No
27,Car P,All Vehicles,Spam,Make $1000 a day from home,Low,Yes
28,Car Q,Car R,Hazard,Ice on bridge,High,No
29,Car S,All Vehicles,Traffic,"Construction ahead, use caution",Medium,No
30,Car T,Car U,Emergency,"Car accident, call 911",High,No
31,Car V,All Vehicles,Weather,Tornado warning in effect,High,No
32,Car W,Car X,Hazard,Road flooded,High,No
33,Car Y,Car Z,Roadwork,Lane closure due to repair,Medium,No
34,Car A,All Vehicles,Spam,Free money for all!,Low,Yes
35,Car B,Car C,Emergency,Medical emergency on highway,High,No
36,Car D,All Vehicles,Weather,Thunderstorm approaching,High,No
37,Car E,Car F,Hazard,Large pothole in right lane,Medium,No
38,Car G,All Vehicles,Traffic,Delays due to roadwork,Medium,No
39,Car H,Car I,Emergency,Carjacking on highway,High,No
40,Car J,All Vehicles,Weather,Hurricane warning in effect,High,No
41,Car K,Car L,Roadwork,Bridge out of service,High,No
42,Car M,All Vehicles,Spam,Get rich quick!,Low,Yes
43,Car N,Car O,Hazard,Large animal on road,Medium,No
44,Car P,All Vehicles,Traffic,"Heavy traffic, use alternate route",High,No
45,Car Q,Car R,Emergency,"Fire on highway, use caution",High,No
46,Car S,All Vehicles,Weather,Snow warning in effect,High,No
47,Car T,Car U,Hazard,Car on shoulder,Low,No
48,Car V,All Vehicles,Roadwork,Right lane closed for repair,Medium,No
49,Car W,Car X,Spam,You've been selected for a prize,Low,Yes
50,Car Y,All Vehicles,Traffic,Police checkpoint ahead,High,No
51,Car A,Car B,Hazard,Fallen power lines,High,No
52,Car C,Car D,Roadwork,Left lane closed ahead,Medium,No
53,Car E,All Vehicles,Weather,Fog advisory in effect,Medium,No
54,Car F,Car G,Traffic,"Congestion, expect delays",Medium,No
55,Car H,All Vehicles,Emergency,Car stalled in middle lane,High,No
56,Car I,Car J,Hazard,Car spun out on shoulder,Low,No
57,Car K,Car L,Roadwork,Utility work ahead,Low,No
58,Car M,All Vehicles,Traffic,Heavy truck traffic,Medium,No
59,Car N,Car O,Hazard,Tire debris on road,Medium,No
60,Car P,All Vehicles,Weather,Heat advisory in effect,Medium,No
61,Car Q,All Vehicles,Emergency,Test emergency broadcast,High,No
62,Car R,Car S,Traffic,Reduced speed zone ahead,Low,No
63,Car T,Car U,Spam,Click here for free product,Low,Yes
64,Car V,All Vehicles,Weather,Severe thunderstorm warning,High,No
65,Car W,Car X,Hazard,Large rock in road,Medium,No
66,Car Y,Car Z,Roadwork,Shoulder closed for repair,Low,No
67,Car A,All Vehicles,Traffic,"Traffic clearing, resume speed",Low,No
68,Car B,Car C,Emergency,Medical emergency on shoulder,High,No
69,Car D,All Vehicles,Weather,Snow accumulation expected,High,No
70,Car E,Car F,Hazard,Car on fire on shoulder,High,No
71,Car G,All Vehicles,Spam,Get rich quick scheme,Low,Yes
72,Car H,Car I,Roadwork,Right lane closed for paving,Medium,No
73,Car J,All Vehicles,Traffic,Left lane closed for construction,Medium,No
74,Car K,Car L,Emergency,Police activity on highway,High,No
75,Car M,All Vehicles,Weather,Blowing snow advisory,High,No
150,Car Y,Car Z,Hazard,Car stalled in center lane,High,No
151,Car A,All Vehicles,Traffic,Roadwork causing delays,Medium,No
152,Car B,Car C,Emergency,"Car accident with injuries, call 911",High,No
153,Car D,All Vehicles,Weather,Severe thunderstorm warning,High,No
154,Car E,Car F,Hazard,Large debris on road,High,No
155,Car G,All Vehicles,Roadwork,Shoulder closed for maintenance,Medium,No
156,Car H,Car I,Traffic,Delays due to police activity,High,No
157,Car J,All Vehicles,Emergency,Report suspicious vehicle on highway,High,No
158,Car K,Car L,Weather,Tornado warning in effect,High,No
159,Car M,All Vehicles,Spam,Get rich quick scheme,Low,Yes
160,Car N,Car O,Roadwork,Right lane closed for construction,Medium,No
161,Car P,All Vehicles,Traffic,"Congestion, expect delays",High,No
162,Car Q,Car R,Emergency,Test emergency message,High,No
163,Car S,All Vehicles,Weather,Severe thunderstorm approaching,High,No
164,Car T,Car U,Hazard,Large pothole in right lane,Medium,No
165,Car V,All Vehicles,Spam,You have won a prize!,Low,Yes
166,Car W,Car X,Roadwork,Exit ramp closed for repair,Medium,No
167,Car Y,All Vehicles,Traffic,"Heavy truck traffic, use caution",Medium,No
168,Car A,Car B,Emergency,Test emergency message,High,No
169,Car C,All Vehicles,Weather,Freezing rain expected,Medium,No
